transaction_id,transaction_timestamp,store_id,product_id,quantity,unit_price,discount,total_amount,currency
T00112,2024-06-01 03:18:51-04:00,S012,P0096,2,97.66,14.16,181.16,INR
T00698,2024-06-02 08:04:26+05:30,S015,P0056,1,263.09,11.48,251.61,USD
T00311,2024-06-01 03:54:13+05:30,S015,P0059,1,126.21,1.48,124.73,USD
T00463,2024-06-02 21:01:54-04:00,S019,P0194,1,171.84,8.32,163.52,EUR
T00426,2024-06-01 07:13:33-04:00,S021,P0151,5,98.56,12.42,480.38,USD
T00963,2024-06-02 19:14:24+00:00,INVALID_STORE,P0096,-1,31.77,0.05,-31.82,INR
T00406,2024-06-02 21:30:55+00:00,S010,P0156,1,209.34,18.48,190.86,INR
T00592,2024-06-02 17:26:54+00:00,S035,P0069,2,30.71,3.32,58.1,INR
T00661,2024-06-02 07:27:33-04:00,S031,P0040,-1,166.59,8.76,-175.35,EUR
T01181,2024-06-01 19:37:30+05:30,S031,P0171,-1,285.73,19.99,-305.72,INR
T00187,2024-06-02 11:48:22+00:00,S049,P0057,3,62.63,11.71,176.18,USD
T01127,2024-06-02 05:09:36+05:30,S017,P0127,3,129.38,9.91,378.23,INR
T00847,2024-06-02 09:38:24+05:30,S036,P0198,-1,249.23,0.02,-249.25,EUR
T00898,2024-06-01 20:58:25-04:00,S002,,5,230.4,4.07,1147.93,USD
T00461,2024-06-01 06:47:14+05:30,S031,P0176,0,55.93,11.02,-11.02,INR
T00968,2024-06-02 11:08:04+05:30,S021,P0078,0,94.64,14.11,-14.11,EUR
T00697,2024-06-02 06:12:54-04:00,S022,,-1,226.42,2.73,-189.37961902953478,EUR
T00992,2024-06-02 15:13:05+00:00,S012,P0076,-1,299.68,9.79,-309.47,INR
T00090,2024-06-02 05:54:42+00:00,S005,P0059,2,294.42,4.78,584.06,INR
T00259,2024-06-01 02:41:44-04:00,S021,P0078,0,239.79,13.04,-13.04,INR
T00317,2024-06-02 05:51:13+05:30,S007,P0163,1,162.53,9.14,153.39,EUR
T00779,2024-06-02 14:51:25+00:00,S019,P0109,5,198.45,17.04,975.21,EUR
T00466,2024-06-01 20:55:34-04:00,S048,P0103,1,189.06,4.7,184.36,EUR
T00665,2024-06-01 03:20:56+05:30,S050,P0037,1,138.67,13.88,124.79,EUR
